StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,b01,b02,b03,b03_19_TEXT,b04,b04_5_TEXT,b05,b06,b07,b07_5_TEXT,b08,b08a,b08b,b09,b10,b10a,o01_1,o01_2,o01_3,o01_4,o01_5,o02,o03_1,o03_2,o03_3,a01,a02,a03,a04,a04a,a05_1,a05_2,a05_3,a05_4,ao5a,a06,a07,a08,a09,a10,a10a,a11,a12,a12a,a13,a14_1,a14_2,a14_3,a15_1,a15_2,a15_3,a16_1,a16_2,a16_3,a17_1,a17_2,a17_3,e01_1,e01_2,e01_3,e02,e03_1,e03_2,e03_3
2022-10-18 13:09:03,2022-10-18 13:19:50,IP Address,128.6.36.249,100,647,True,2022-10-18 13:19:51,R_eUTExOflepwX85z,,,,,40.5511,-74.4606,anonymous,EN,JS,18-25,940:121:01,,Freshman,,3 years,"No, I only speak english",Face-to-face,,No,,,1-5 miles away,No,,4,4,3,3,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,It was a requirement for the Honors College.,In person classes help me pay attention to lectures more.,,Yes,,3,3,3,4,There are still some times where I find things a little difficult to comprehend.,It is more interactive and you do more partner work.,Some negative aspects is it is less self paced when compared to an online course.,You can pace the course yourself and key in on topics that you need more time on.,You miss out of the interactions you would have in a classroom,Face-to-face,You interact with the professor more.,It is a little bit easier to focus more on the material rather than activities.,More efficient,More convient for students to take a class where they are comfortable.,4,2,4,2,5 = most comfortable,3,4,2,4,3,4,4,4,3,2,3,Yes,4,3,4
2022-10-18 13:09:07,2022-10-18 13:19:54,IP Address,128.6.36.87,100,646,True,2022-10-18 13:19:54,R_3QtQ3fgaJN7o6vn,,,,,40.5511,-74.4606,anonymous,EN,JJ,18-25,940:121:01,,Freshman,,13 years,I speak a bit of Spanish at Work,Other,Church,Yes,No,,20+ miles away,Yes,10-15 hours,3,4,1 - least comfortable,1 - least comfortable,4,No,5 = readily accessible when I need it,3,5 = readily accessible when I need it,"good knowledge to take beyond educational instution, like to travel abroad to Spanish speaking countries in future",In person is more effienct to learn the language,,Yes,,3,3,4,4,"Was not major curriculum in early education, was more so grammar than anything else","You can listen to the pronunciation ",None,Increased flexibility and allows me to go home early for work,less communication between students and can be harder to take notes,Face-to-face,You are present and have less chance of logging out,,More efficient,"Personal preference, it is easier for student and teacher, get more or less same done and learned.",4,1 = least anxious,1 = least anxious,1 = least anxious,5 = most comfortable,4,3,3,5 = most communication,3,5 = extremely well,5 = extremely well,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,3,1 = not a good school-life balance
2022-10-18 13:09:04,2022-10-18 13:20:50,IP Address,128.6.37.77,100,706,True,2022-10-18 13:20:51,R_1CINIef5DOHsZvP,,,,,40.5511,-74.4606,anonymous,EN,JR,18-25,940:121:01,,Sophomore,,2 years in high school,No,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,5 - most comfortable,,4,4,Yes,5 = readily accessible when I need it,3,4,My scholarship requirement,So I can build a professional relationship with my professor and get more help,N/A,Yes,,4,4,4,4,,Knowing the professor and classmates so you can get help from them,"Being late because of busses ",N/A,N/A,Face-to-face,Because I get to know my professor and ask questions in class when I am confused instead of waiting for my professor to reply to an email,You can do the class where ever you are,Similar,basically the same just minor differences,4,,,3,3,4,3,4,5 = most communication,4,3,4,4,4,4,4,N/A,4,4,4
2022-10-18 13:11:47,2022-10-18 13:22:10,IP Address,128.6.37.37,100,622,True,2022-10-18 13:22:11,R_3JmkgVkn9o6EOM0,,,,,40.5511,-74.4606,anonymous,EN,ME,18-25,940:121:01,,Sophomore,,4 years in high school,no,Face-to-face,,No,,,10-15 miles away,Yes,5-10 hours,5 - most comfortable,3,2,,3,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,I want to be able to communicate with more people,Im more comfortable speaking to the professor and other students in person than over zoom,,Yes,,3,4,3,4,,"being able to practice speaking more ",not fully understanding what the professor is saying,being able to look up certain unknown words,Not getting enough practice,Face-to-face,Because knowing the professor makes it easier to engage and speak in class,,Similar,,3,3,2,2,3,4,4,2,4,4,3,4,3,4,3,5 = extremely useful,Yes,4,3,3
2022-10-18 13:15:21,2022-10-18 13:22:24,IP Address,72.88.214.64,100,423,True,2022-10-18 13:22:25,R_2TuDBB2586OdxS6,,,,,40.488,-74.4544,anonymous,EN,MV,18-25,940:121:01,,Junior,,0 in college 8 overall,No,At home,,No,,,20+ miles away,No,,3,3,3,3,4,No,5 = readily accessible when I need it,4,5 = readily accessible when I need it,I wanted to minor in spanish,I thought it would be more interactive,,Yes,,4,3,3,3,I just haven’t practice very much outside of class work and studying,It’s more interactive with the professor,"It’s easier to get bored ",comfort,concentration,Online,Usually online classes are recorded so I could go back and rewatch parts,None that come to mind,Niether,,3,5 = most anxious,5 = most anxious,5 = most anxious,3,3,3,2,4,3,1 = Not well at all,2,2,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,4,2,3
2022-10-18 13:14:23,2022-10-18 13:22:59,IP Address,128.6.36.198,100,515,True,2022-10-18 13:22:59,R_12rQJIjJCgkGRVW,,,,,40.5511,-74.4606,anonymous,EN,JC,18-25,940:101:01,,Sophomore,,a semester,no,Face-to-face,,No,,,16-20 miles away,Yes,15-20 hours,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,Spanish would help me since I travel to Mexico often. My partner is also Spanish so it would be great to be able to talk to his family.,The course would be more engaging.,,Yes,,3,3,3,4,I feel like I still have more to learn.,"You are able to interact with your professor and classmates. ","I wouldn't say there are negative aspects. ",You are able to go to class in any location. Especially if your classes meet back to back.,You are not able to interact and may lose your attention span in class.,Face-to-face,"You do in class activities to help you practice. ","It can be more convenient for some students who live off campus. ",Niether,,2,2,1 = least anxious,1 = least anxious,3,5 = most comfortable,4,3,5 = most communication,4,5 = extremely well,5 = extremely well,5 = extremely well,5 = extremely useful,4,5 = extremely useful,N/A,5 = great school-life balance,5 = great school-life balance,5 = great school-life balance
2022-10-18 13:09:06,2022-10-18 13:23:06,IP Address,128.6.36.161,100,840,True,2022-10-18 13:23:07,R_2Qng6jBPObRww4G,,,,,40.5511,-74.4606,anonymous,EN,KS,18-25,940:121:01,,Sophomore,,"Four years in high school, but 0 semesters in college. ",No,Face-to-face,,No,,,20+ miles away,Yes,0-5 hours,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I have to take a language for my honors college requirement,I chose this because only in person was available,,Yes,,3,4,4,2,"I feel this because I am not a native speaker and I need more experience with the language. ",You can ask the teacher questions more easily than online,I have to travel more if I were in person than online.,You have more time outside of class to practice,It is harder to interact with classmates and the teacher,Face-to-face,"Because you have to actively participate in discussions. ",I can't think of anything,Niether,,2,2,4,3,5 = most comfortable,4,3,1 = least communication,5 = most communication,3,4,3,3,3,2,5 = extremely useful,Yes,4,4,3
2022-10-18 13:13:41,2022-10-18 13:27:04,IP Address,128.6.37.183,100,802,True,2022-10-18 13:27:04,R_2rT4ubDEOr2YHXY,,,,,40.488,-74.4544,anonymous,EN,CN,18-25,940:121:02,,Freshman,,2 years in high school,I do not,Face-to-face,,No,,,10-15 miles away,Yes,5-10 hours,3,4,,,4,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I wanted to push myself to learn spanish.,I knew that face-to-face interaction would force me to pay attention and not get distracted.,,No,I keep getting discouraged when I do not get something everyone seems to know.,4,4,4,4,,I get to practice speaking and I get to feel engaged in class.,,,,Face-to-face,Because you are forced to pay attention in class and there are less distractions.,You get to learn on your own pase. As well as create you own schedule.,Niether,,4,2,4,3,5 = most comfortable,3,4,2,5 = most communication,3,2,3,,5 = extremely useful,3,5 = extremely useful,Yes,5 = great school-life balance,3,
2022-10-19 10:15:59,2022-10-19 10:32:20,IP Address,128.6.36.248,100,980,True,2022-10-19 10:32:20,R_3p3wvGUFhi9E0sj,,,,,40.488,-74.4544,anonymous,EN,KB,18-25,940:101:92,,Senior,,0,Occasional Spanish with a friend: words and phrases,Online,,No,,,20+ miles away,Yes,10-15 hours,5 - most comfortable,5 - most comfortable,2,3,3,Yes,5 = readily accessible when I need it,4,4,"I had trouble registering for classes and needed to meet the minimum required credits, but being I am half hispanic and have the ability to learn and speak Spanish, I saw this as an opportunity to learn more and get closer to that goal",,There weren't any in person classes left available that fit in with the rest of my schedule,Yes,,3,3,4,5 = a lot of practice,It is really just comes down to time management. On top of other classes I have work and other obligations. I try to practice as much as I can but I cannot always get the amount of practice I would like,It almost forces me to be involved in the course and gives me a designated time to focus on one topic,"For me personally, I commute pretty far. Coming to campus any day of the week can be difficult",It allows me to learn from home and gives me the comfortability to learn at my own pace with respect to the course pace,"In the same respect it can almost give me too much leniency or responsibility to designate my own time to learn, rather than a designated time, x amount of days throughout the week",Face-to-face,"Again, it comes down to essentially disciplining myself. With a face-to-face class, it ""forces"" me to be open and ready to learn during a designated time. At home for an online class, it is not that. UNLESS, there are designated zoom meetings during the times we would have an in-person class",N/A,Similar,I only feel it is similar if there are designated zoom meeting times. Synchronous over Asycnronous,3,4,2,2,2,5 = most comfortable,4,4,5 = most communication,3,2,4,3,5 = extremely useful,4,5 = extremely useful,N/A,3,4,3
2022-10-19 10:36:02,2022-10-19 10:45:05,IP Address,73.194.90.41,100,543,True,2022-10-19 10:45:06,R_3MhbCEtrIR92g3M,,,,,40.4856,-74.6265,anonymous,EN,SM,18-25,940:101:92,,Senior,,0,Telugu,Online,,No,,,10-15 miles away,No,,5 - most comfortable,5 - most comfortable,4,3,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I felt that it would be useful in my professional career and would open more doors for me,,"I initially chose an in person class, but it was dropped over the summer because there wasn't enough people. The only available class was online",Yes,,3,4,4,3,It's just harder to progress for me in speaking and listening because they are more in the moment,Instant feedback,put on the spot,feels detached and not as involved,less pressure,Face-to-face,because you see people in person and can try to converse with them in Spanish in class,"I don't feel that online class is better than in person, just different",More efficient,can do it on your own time,3,2,4,3,3,2,3,2,4,3,3,3,3,4,3,4,Yes,4,3,3
2022-10-12 10:44:36,2022-10-12 10:45:41,IP Address,128.6.36.101,15,64,False,2022-10-19 10:45:44,R_2CQBQ5WOU0EzKqC,,,,,,,anonymous,EN,BY,18-25,Other:,940:261:01,Senior,,9 years,Only in class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19 10:36:20,2022-10-19 10:53:14,IP Address,128.6.37.132,100,1013,True,2022-10-19 10:53:14,R_1DtZMgsWa8VbkqS,,,,,40.5511,-74.4606,anonymous,EN,SC,18-25,940:101:92,,Freshman,,N/A,"Yes, Haitian Creole",Online,,No,,,20+ miles away,No,,5 - most comfortable,4,3,,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"What motivated me to sign up for a language course this semester is the requirement for SAS if I were to be completely honest. In general, I chose Spanish because there are a lot of Spanish speakers, and with going into the health field, it would be good for me if I were able to speak, or at least understand when I am communicating with my patients. ",,"I chose an online class instead of an in-person class because during the scheduling process, I preferred having an asynchronous class instead of a class that I did not like the times. That is the main reason why I chose to have it online.",Yes,,5 = a lot of practice,4,4,2,"I feel like for listening, it takes me a lot of time to break down the sentences to a level where I can understand. It is difficult for me to practice because I'm not exposed to Spanish on a daily level, and even when I listen to Spanish music, the speaking speed is too fast for me. Speaking and writing is easier for me because I can see it right in front of me. Reading is somewhere in the middle, where I can understand the general subject or question of the sentence, but I may not know all the meaning of the words.",I am able to listen to the teacher and ask question that I may have right away,There are not really negative aspects except for scheduling and how long someone can focus and concentrate,Positive aspects online is that you take it at your own pace,Negative aspects are that it is harder and sometimes I feel like I'm not improving,Face-to-face,"It's because you are continuously meeting the teacher and figuring out if you are improving compared to the other students. With online, I tend to not go back and watch other students video comments if I had already done mine.",Some aspects that are valuable is that you can always replay the video again until you fully understand the concept,Niether,,3,4,3,2,3,3,3,4,5 = most communication,3,4,5 = extremely well,3,5 = extremely useful,3,5 = extremely useful,Yes,4,3,3
2022-10-12 11:18:24,2022-10-12 11:18:47,IP Address,128.6.37.212,2,22,False,2022-10-19 11:18:52,R_1OSPIwGnXYonKXF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19 13:52:17,2022-10-19 14:05:28,IP Address,72.76.168.150,100,791,True,2022-10-19 14:05:28,R_3PcTth1oYlbUWdQ,,,,,40.488,-74.4544,anonymous,EN,PV,18-25,940:131:01,,Junior,,3,"Malayalam ",Face-to-face,,No,,,1-5 miles away,Yes,5-10 hours,5 - most comfortable,5 - most comfortable,1 - least comfortable,5 - most comfortable,1 - least comfortable,No,3,3,3,Honor College,,"it’s more accessible and less rigid in curriculum ",No,because I took online classes,2,4,5 = a lot of practice,2,The work is not appealing,It’s more proactive,It requires us to go to class,It’s wasier,You don’t learn,Face-to-face,"More proactive ",No,Niether,,1,5 = most anxious,1 = least anxious,3,1 = least comfortable,5 = most comfortable,3,1 = least communication,5 = most communication,3,1 = Not well at all,5 = extremely well,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,1 = not a good school-life balance,3
2022-10-19 13:58:28,2022-10-19 14:10:28,IP Address,67.80.122.233,100,719,True,2022-10-19 14:10:28,R_bEEIZycFpMHi52h,,,,,40.9412,-73.9644,anonymous,EN,AH,25-35,Other:,940:132:91,Sophomore,,"2 college years, 2 Highschool years",I do not,Face-to-face,,No,,,10-15 miles away,Yes,20 + hours,4,4,3,3,,No,3,3,3,Due to my latin background I chose to finally learn the language.,,I chose and online course due to my work schedule and inability to attend in-person courses.,Yes,,3,3,4,3,"I think the online course, naturally, lacks the real-time feedback from the teacher.","Some positive aspects of in-person would be the confidence in speaking, further and in-depth explaining or tricks to help remember.",,Flexibility to learn on own time and schedule,,Face-to-face,If you're not careful you can get overwhelmed if assignments are not completed on time.,,Similar,"I think they both have pros and cons, they are just different. The student makes both experiences, so it depends on the person.",4,2,2,2,3,3,3,2,5 = most communication,3,3,3,3,5 = extremely useful,4,5 = extremely useful,Yes,3,3,3
2022-10-19 14:25:02,2022-10-19 14:45:18,IP Address,128.6.37.164,100,1215,True,2022-10-19 14:45:18,R_1IlNYXU8fpAUj5W,,,,,40.5511,-74.4606,anonymous,EN,AT,18-25,Other:,940: 132: 91,Sophomore,,"4 years in highschool, 2 semesters in college ",No,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,5 - most comfortable,5 - most comfortable,4,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"Initially I signed up to take a language course to fulfill my language requirement for my major, however as time went on I am glad I continued to take a language course because my proficiency has significantly improved. What motivates me to learn an additional language is the opportunities it provides such as learning about different cultures, interacting with others and to overall hear different worldviews. ",,"I chose an online class because the time for the in person class could not work into my schedule.  However, an online class allows me to work and study on my own pace while abiding by the deadlines. ",Yes,,4,4,4,4,,"Some positive aspects are you get a hands on learning experience, you learn better through repetition and you can ask questions on the spot. ","Some negative aspects are feeling pressured to speak on the spot, having trouble understanding what is happening in the class or being left behind. ","Some positive aspects are that most of the work is independent and you can practice a topic alone first, think and ask questions later.  ","Some negative aspects are procrastinating and the higher potential of missing assignments. ",Online,"For me, I find online easier to stay motivated because I have the work that needs to be done laid out in front of me and can anticipate what is next. ","I feel less anxious taking an online course in-comparison to a face-to-face course. I can worry more about the work. ",Niether,,3,3,5 = most anxious,3,4,3,3,2,5 = most communication,4,4,4,4,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,4,3,3
2022-10-19 15:29:40,2022-10-19 15:49:36,IP Address,128.6.36.198,100,1195,True,2022-10-19 15:49:37,R_1r9b5yQv1NBsyQV,,,,,40.488,-74.4544,anonymous,EN,WS,18-25,Other:,940:132:91,Senior,,2 years,Korean,Face-to-face,,Yes,No,,16-20 miles away,No,,4,4,2,2,3,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,To satisfy SAS core,,"In-person classes don't work for my schedule. ",Yes,,3,4,5 = a lot of practice,4,"Recording is different than actually communicating with other people. ","Instant feedback ",Schedule availability. Long hours,"Scheduling, can work any time when available ","Reaching out to the instructor is less simple than in-person courses ",Face-to-face,It forces you to work on certain things while in online course everything is on you.,"Can save commuting time. Can work very late at night. ",More efficient,"Could save much time used to get to the classroom. Could work any time ",3,3,4,3,5 = most comfortable,2,3,4,5 = most communication,4,4,3,3,3,3,4,No,2,1 = not a good school-life balance,2
2022-10-19 12:11:54,2022-10-19 16:30:53,IP Address,172.58.236.50,100,15538,True,2022-10-19 16:30:54,R_WutBITtJUaJgByx,,,,,40.7718,-74.2098,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19 15:33:15,2022-10-19 17:18:01,IP Address,128.6.37.152,100,6285,True,2022-10-19 17:18:01,R_2ZOgPCxKqeyuoio,,,,,40.5511,-74.4606,anonymous,EN,SP,18-25,940:131:01,,Freshman,,"I have studied Spanish for 5 years ","I do not speak another language at home, (sometimes I occasionally speak Spanish with my mom since she studied it all throughout college) ",Face-to-face,,Yes,No,,20+ miles away,No,,4,5 - most comfortable,2,1 - least comfortable,5 - most comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,3,I wanted to keep with a language and to also learn more and speak more Spanish since that is part of my heritage. I also studied it since 8th grade all the way through my high school career,"I am taking an in person class for Spanish. I learn better in person especially if it is for a language, i prefer to have that type of class in person.",,Yes,,3,4,2,4,It was not covered as much or practiced as much in writing specifically.,"You are able to connect with classmates, and the professor of the course as well. You are able to learn in real time and comprehend more in person ",Some negative aspects are not being able to be helped one on one by a teacher when you need it the most because they have other students to tend to,"You get to do the work in a different way and get to learn differently ",Hard to comprehend what is being said if technical problems happen,Face-to-face,Because Yu are held accountable to show up and do the work then rather than online learning where you can procrastinate more,Not that i can think of,Similar,"You still go over the same concepts just the formatting and how you do certain activities will be different ",3,3,2,3,4,5 = most comfortable,4,3,4,3,3,4,3,5 = extremely useful,4,5 = extremely useful,Yes,3,3,3
2022-10-19 14:41:31,2022-10-19 22:29:33,IP Address,52.124.35.239,100,28082,True,2022-10-19 22:29:34,R_1mDl92qHuUNUERD,,,,,40.488,-74.4544,anonymous,EN,AD,18-25,Other:,940:132:91,Freshman,,5 years,,Face-to-face,,No,,,1-5 miles away,No,,4,5 - most comfortable,3,3,1 - least comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I have studied spanish for my entire education and I wanted to continue that until I can confidently speak spanish. ",,"This is the first option when I received my schedule and I did not mind having a class online  ",Yes,,4,5 = a lot of practice,3,2,"We do not receive as many listening assignments compared to others ","You are able to ask questions more freely, the instructor is right there to direct ","concepts are a little harder to grasp when having to teach yourself ","being able to work at your own pace ","concepts are a little difficult to grasp when having to teach oneself ",Face-to-face,"I have a constant reminder of the class and the work that comes along. I have to follow a schedule ",,Niether,,2,2,5 = most anxious,3,5 = most comfortable,3,3,5 = most communication,4,4,2,4,3,5 = extremely useful,3,4,Yes,3,3,3
2022-10-20 08:46:05,2022-10-20 08:55:58,IP Address,128.6.37.137,100,592,True,2022-10-20 08:55:59,R_2UaNv3OCNscfmKe,,,,,40.5511,-74.4606,anonymous,EN,MH,18-25,940:132:90,,Junior,,"2 semesters ","Yes, kannada",Face-to-face,,No,,,10-15 miles away,Yes,15-20 hours,3,3,1 - least comfortable,1 - least comfortable,1 - least comfortable,No,5 = readily accessible when I need it,3,3,"It was an honors program requirement ",,Because I like online classes better,Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,,,You can do it from your house,You don’t get that much interaction with the professor or other students,Face-to-face,Because it feels like a class more than it does when you take it online,,Similar,,4,1 = least anxious,3,3,3,3,3,3,2,3,3,3,4,5 = extremely useful,3,4,Yes,4,1 = not a good school-life balance,3
2022-10-20 08:51:43,2022-10-20 08:58:13,IP Address,68.197.69.130,100,390,True,2022-10-20 08:58:14,R_1QzlE9zD1Zn9YKC,,,,,40.5175,-74.3991,anonymous,EN,ML,18-25,940:132:90,,Sophomore,,1 semester,"Gujarati ",Face-to-face,,No,,,5-10 miles away,No,,5 - most comfortable,5 - most comfortable,,5 - most comfortable,,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"In the healthcare field , spanish is important. ",,Because it’s easier to manage,Yes,,3,4,5 = a lot of practice,5 = a lot of practice,,You can communicate more in Spanish,"less time spend speaking ","more time to complete work ",takes time to be comfortable with otherd,Online,"since you don’t have to go anywhere ",Videos you can watch over and over,Similar,because it depends on how much time the students is willing to invest,4,2,5 = most anxious,4,5 = most comfortable,3,4,5 = most communication,5 = most communication,5 = most communication,4,5 = extremely well,4,5 = extremely useful,4,5 = extremely useful,No,5 = great school-life balance,3,5 = great school-life balance
2022-10-20 08:47:07,2022-10-20 09:10:05,IP Address,128.6.36.145,100,1377,True,2022-10-20 09:10:05,R_3D8G97qtIEFONmj,,,,,40.488,-74.4544,anonymous,EN,AG,18-25,940:132:90,,Freshman,,3 years in high school,Hindi,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,5 - most comfortable,4,4,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I was interested in improving by Spanish skills as I enjoyed learning about Spanish and its culture/traditions in high school. Learning an additional language is a cool way to learn about other cultures and their way of living.,,"I choose an online class over an in person class because it offers me more flexibility on when to complete the tasks assigned. ",Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,"Meeting new people, communicating with other classmates, immersing in the language","Time and inflexibility ","Very flexible, allowing us to complete work in own time, can study material anywhere in our comfort","Don't have as much opportunities to communicate with classmates, don't have as much speaking practice",Face-to-face,Perhaps because the teacher and classmates can further motivate the student in a face-to-face class format. A classroom can feel more like a learning environment where everyone is helping each other get better at the subject,"Flexibility, able to dive deeper on certain topics, spend more time learning",More efficient,"It can be more efficient because online learning is what one makes of it. One can learn more and dive deeper into concepts online with flexibility. ",4,2,,,5 = most comfortable,5 = most comfortable,5 = most comfortable,3,5 = most communication,4,4,4,4,4,3,4,Yes,5 = great school-life balance,3,4
2022-10-13 10:15:23,2022-10-13 10:15:39,IP Address,128.6.37.133,2,15,False,2022-10-20 10:15:39,R_28M1A5E2Gnljup7,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-13 10:16:21,2022-10-20 10:18:07,IP Address,128.6.37.105,100,604906,True,2022-10-20 10:18:08,R_3qmtlgq8NvcqAl7,,,,,40.5511,-74.4606,anonymous,EN,IH,18-25,940:131:01,,Sophomore,,8,No,Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,5 - most comfortable,3,5 - most comfortable,5 - most comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I was motivated because I want to study abroad in Spain and speak the language. ",I think it is more beneficial to learn languages by being in person and talking with your peers and professor.,,Yes,,4,4,3,3,,Learning with your peers in person makes it easier to converse and ask questions.,I don't think there are any negative aspects of in-person learning for Spanish class.,I can't think of any.,"Makes it harder to process material, connect with others, participate in class, stay focused on material.",Face-to-face,"Being in person makes it easier to stay engages and ask questions. ","I don't think so. I think it's crucial to have practice speaking in person with one another to learn a language. ",Niether,,3,4,3,2,4,3,4,1 = least communication,5 = most communication,3,2,4,4,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,3,4,4
2022-10-13 11:01:39,2022-10-13 11:01:42,IP Address,128.6.37.174,2,3,False,2022-10-20 11:01:43,R_1CBIpqcXuAyipIb,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20 11:07:52,2022-10-20 11:31:20,IP Address,71.127.237.104,100,1408,True,2022-10-20 11:31:20,R_UQHLOSH3h1CBZE5,,,,,40.4992,-74.4996,anonymous,EN,IS,18-25,Other:,01:940:261,Junior,,3 years but only 3 semesters at Rutgers,Occasionally with friends I speak Spanish but not often.,Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,4,1 - least comfortable,1 - least comfortable,1 - least comfortable,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,"I am minoring in Spanish, which is why I'm taking my third Rutgers Spanish class this semester. There were many reasons I wanted to learn Spanish, but the mainly because it's extremely useful a long with I have fun learning and practicing with friends. ","I feel like with learning a language, the in person communication is super important. One of the best ways of learning a language is by surrounding yourself by people that can also speak the language well. Online would have taken some of this away from the opportunity. ",,Yes,,4,4,4,5 = a lot of practice,,"You see people's hand gestures and other forms of communication that you could potentially miss out on in an online format. You also get to meet/interact with other of your classmates in a way that's much easier than online. I think there's many things that improve when taking an in person Spanish class compared to an online one. For example, if a zoom call cuts out, or is lagging, that could severely mess up your learning as it isn't your first language. Someone learning may need to hear the full sentence through, or have it repeated and a faulty online system won't help.",I can't think of any negative aspects of an in-person Spanish class.,"I can't think of any positive aspects of taking an online Spanish class. The majority of my classmates bring their laptops to class anyways, so if the teacher instructs us to look at something we have the resources available.","Pretty much everything I said on the previous page. It just wouldn't flow as well as an in person class. Learning a language is definitely possible online, but it is extremely beneficial to practice in person.",Face-to-face,"The sense of actually coming to class, and not just opening my laptop while in bed, already requires a lot more effort. If I'm gonna make that initial effort, I will go all the way.",,Niether,,3,2,1 = least anxious,2,3,5 = most comfortable,4,3,5 = most communication,4,3,4,4,5 = extremely useful,3,5 = extremely useful,N/A,3,3,3
